Epoch: 715, Reward: -1636, Loss: 48.82195, Actions: Counter({'[2]': 190, '[3]': 168, '[0]': 157, '[1]': 153, '[4]': 47})
Epoch: 282, Reward: -843, Loss: 52.27778, Actions: Counter({'[4]': 101, '[2]': 54, '[0]': 46, '[3]': 42, '[1]': 39})
Epoch: 1171, Reward: -3037, Loss: 70.63923, Actions: Counter({'[0]': 400, '[1]': 359, '[2]': 226, '[3]': 161, '[4]': 25})
Epoch: 420, Reward: -1467, Loss: 107.26942, Actions: Counter({'[4]': 158, '[3]': 89, '[2]': 80, '[0]': 48, '[1]': 45})
Epoch: 462, Reward: -969, Loss: 53.072548, Actions: Counter({'[2]': 141, '[0]': 109, '[1]': 93, '[3]': 78, '[4]': 41})
Epoch: 191, Reward: -194, Loss: 74.2288, Actions: Counter({'[2]': 64, '[3]': 45, '[0]': 33, '[1]': 29, '[4]': 20})
Epoch: 364, Reward: -1078, Loss: 64.2365, Actions: Counter({'[4]': 108, '[0]': 83, '[2]': 82, '[1]': 49, '[3]': 42})
Epoch: 244, Reward: -175, Loss: 59.426273, Actions: Counter({'[2]': 82, '[3]': 58, '[0]': 57, '[1]': 31, '[4]': 16})
Epoch: 258, Reward: -486, Loss: 78.11676, Actions: Counter({'[2]': 74, '[3]': 74, '[0]': 50, '[4]': 31, '[1]': 29})
Epoch: 602, Reward: -1262, Loss: 56.58401, Actions: Counter({'[1]': 162, '[0]': 149, '[2]': 142, '[3]': 118, '[4]': 31})
Epoch: 1285, Reward: -3394, Loss: 65.25934, Actions: Counter({'[0]': 385, '[1]': 308, '[2]': 274, '[3]': 256, '[4]': 62})
Epoch: 130, Reward: -52, Loss: 69.43882, Actions: Counter({'[2]': 68, '[3]': 33, '[4]': 12, '[0]': 12, '[1]': 5})
Epoch: 587, Reward: -1706, Loss: 82.849915, Actions: Counter({'[2]': 162, '[4]': 144, '[3]': 117, '[1]': 88, '[0]': 76})
Epoch: 399, Reward: -906, Loss: 54.75241, Actions: Counter({'[2]': 91, '[1]': 91, '[0]': 89, '[3]': 79, '[4]': 49})
Epoch: 581, Reward: -1313, Loss: 72.801254, Actions: Counter({'[0]': 168, '[1]': 157, '[2]': 110, '[3]': 110, '[4]': 36})
Epoch: 152, Reward: -344, Loss: 26.571312, Actions: Counter({'[4]': 67, '[2]': 27, '[0]': 25, '[1]': 19, '[3]': 14})
Epoch: 183, Reward: -537, Loss: 52.08295, Actions: Counter({'[4]': 82, '[1]': 33, '[2]': 29, '[0]': 25, '[3]': 14})
Epoch: 448, Reward: -1262, Loss: 60.742775, Actions: Counter({'[2]': 102, '[0]': 99, '[4]': 98, '[1]': 92, '[3]': 57})
Epoch: 398, Reward: -626, Loss: 68.34378, Actions: Counter({'[2]': 102, '[3]': 100, '[0]': 97, '[1]': 76, '[4]': 23})
Epoch: 214, Reward: -334, Loss: 77.876236, Actions: Counter({'[2]': 60, '[0]': 55, '[3]': 51, '[1]': 38, '[4]': 10})
Epoch: 699, Reward: -1611, Loss: 65.5297, Actions: Counter({'[3]': 193, '[2]': 182, '[0]': 141, '[1]': 117, '[4]': 66})
Epoch: 589, Reward: -1672, Loss: 51.527542, Actions: Counter({'[1]': 148, '[0]': 147, '[4]': 132, '[3]': 83, '[2]': 79})
Epoch: 538, Reward: -1495, Loss: 81.26313, Actions: Counter({'[2]': 123, '[0]': 120, '[3]': 115, '[1]': 111, '[4]': 69})
Epoch: 984, Reward: -3237, Loss: 85.273155, Actions: Counter({'[2]': 243, '[3]': 224, '[0]': 190, '[4]': 180, '[1]': 147})
Epoch: 393, Reward: -1188, Loss: 88.45206, Actions: Counter({'[2]': 102, '[3]': 84, '[4]': 76, '[0]': 69, '[1]': 62})
Epoch: 161, Reward: -587, Loss: 60.209534, Actions: Counter({'[4]': 90, '[0]': 32, '[2]': 20, '[1]': 13, '[3]': 6})
Epoch: 403, Reward: -1594, Loss: 65.44251, Actions: Counter({'[4]': 177, '[0]': 63, '[1]': 56, '[3]': 54, '[2]': 53})
Epoch: 551, Reward: -1688, Loss: 60.976246, Actions: Counter({'[3]': 152, '[2]': 120, '[4]': 108, '[1]': 86, '[0]': 85})
Epoch: 1121, Reward: -4013, Loss: 70.82639, Actions: Counter({'[3]': 264, '[0]': 252, '[1]': 217, '[4]': 198, '[2]': 190})
Epoch: 178, Reward: -307, Loss: 47.269264, Actions: Counter({'[2]': 55, '[3]': 50, '[1]': 28, '[0]': 23, '[4]': 22})
Epoch: 318, Reward: -933, Loss: 61.25551, Actions: Counter({'[4]': 92, '[1]': 69, '[0]': 62, '[3]': 49, '[2]': 46})
Epoch: 461, Reward: -1562, Loss: 70.821434, Actions: Counter({'[4]': 178, '[2]': 77, '[1]': 73, '[3]': 69, '[0]': 64})
Epoch: 987, Reward: -2079, Loss: 66.86385, Actions: Counter({'[2]': 262, '[3]': 250, '[1]': 242, '[0]': 226, '[4]': 7})
Epoch: 558, Reward: -894, Loss: 68.175835, Actions: Counter({'[3]': 190, '[2]': 142, '[0]': 97, '[1]': 93, '[4]': 36})
Epoch: 222, Reward: -675, Loss: 70.13975, Actions: Counter({'[4]': 91, '[0]': 46, '[2]': 36, '[1]': 28, '[3]': 21})
Epoch: 1269, Reward: -3225, Loss: 70.78465, Actions: Counter({'[3]': 314, '[0]': 268, '[2]': 267, '[1]': 264, '[4]': 156})
Epoch: 378, Reward: -1470, Loss: 92.40406, Actions: Counter({'[4]': 171, '[2]': 79, '[3]': 53, '[0]': 48, '[1]': 27})
Epoch: 229, Reward: -484, Loss: 59.995243, Actions: Counter({'[2]': 67, '[4]': 46, '[3]': 44, '[0]': 41, '[1]': 31})
Epoch: 238, Reward: -655, Loss: 63.57707, Actions: Counter({'[4]': 78, '[2]': 50, '[0]': 45, '[1]': 38, '[3]': 27})
Epoch: 711, Reward: -2406, Loss: 77.96866, Actions: Counter({'[4]': 205, '[3]': 173, '[2]': 172, '[0]': 82, '[1]': 79})
Epoch: 176, Reward: -422, Loss: 78.437126, Actions: Counter({'[4]': 51, '[2]': 49, '[3]': 37, '[0]': 20, '[1]': 19})
Epoch: 394, Reward: -964, Loss: 51.99446, Actions: Counter({'[3]': 124, '[2]': 119, '[4]': 69, '[0]': 52, '[1]': 30})
Epoch: 265, Reward: -394, Loss: 110.089714, Actions: Counter({'[0]': 84, '[1]': 78, '[2]': 53, '[3]': 40, '[4]': 10})
Epoch: 1268, Reward: -3206, Loss: 69.76125, Actions: Counter({'[2]': 310, '[1]': 288, '[0]': 274, '[3]': 242, '[4]': 154})
Epoch: 796, Reward: -1978, Loss: 85.004684, Actions: Counter({'[2]': 201, '[3]': 176, '[1]': 154, '[0]': 152, '[4]': 113})
Epoch: 306, Reward: -354, Loss: 94.953064, Actions: Counter({'[0]': 108, '[1]': 100, '[2]': 55, '[3]': 29, '[4]': 14})
Epoch: 334, Reward: -598, Loss: 70.9868, Actions: Counter({'[0]': 91, '[1]': 90, '[2]': 68, '[3]': 46, '[4]': 39})
Epoch: 230, Reward: -260, Loss: 66.12788, Actions: Counter({'[2]': 94, '[3]': 64, '[0]': 42, '[1]': 28, '[4]': 2})
